167,-538
178,-526
188,-513
199,-501
210,-488
221,-476
232,-463
243,-451
254,-438
266,-426
277,-413
288,-401
299,-389
311,-377
322,-365
333,-352
344,-340
356,-328
367,-317
378,-305
390,-293
401,-281
412,-270
423,-258
434,-247
445,-235
451,-233
457,-231
463,-229
469,-227
475,-224
481,-221
487,-218
493,-214
500,-211
506,-207
513,-202
520,-198
526,-193
533,-188
541,-182
548,-177
555,-171
563,-164
571,-158
579,-151
588,-144
597,-136
606,-129
615,-121
625,-112
601,-128
577,-144
553,-161
529,-177
506,-194
483,-212
460,-230
437,-248
415,-266
393,-285
372,-304
351,-324
330,-344
310,-365
291,-385
271,-407
253,-428
234,-450
216,-472
199,-495
182,-518
165,-541
149,-564
133,-587
118,-610
